epoch,acc test,acc train,time
1,70.7100000,54.7680000,14.5882175
2,76.4400000,72.6560000,29.0416052
3,79.3200000,77.4100000,43.4211936
4,81.0500000,80.4160000,57.8599188
5,82.3700000,82.3320000,72.3579879
6,83.2500000,84.1500000,86.7909482
7,83.8300000,85.5140000,101.3333950
8,84.2000000,86.7480000,115.7739956
9,84.3400000,87.8720000,130.2975743
10,84.5200000,88.9560000,144.6650639
11,84.7100000,89.8340000,159.2148228
12,84.6500000,90.6100000,173.6131566
13,84.8900000,91.5040000,188.1504810
14,84.6300000,92.2640000,202.5530758
15,84.7900000,92.8500000,216.9971931
16,85.1500000,93.2880000,231.3998671
