epoch,acc test,acc train,time
1,70.7600000,55.7400000,18.2067888
2,77.0500000,72.5200000,36.5702045
3,79.7800000,76.7060000,55.3091414
4,81.2700000,79.8200000,73.5104041
5,82.0200000,82.0260000,91.9871333
6,82.3000000,83.8120000,111.2688587
7,82.9300000,85.1920000,129.5295756
8,83.4500000,86.5380000,147.8883379
9,84.1300000,87.5420000,166.7988074
10,84.2300000,88.5520000,186.0646265
11,84.5000000,89.4620000,204.2380986
12,84.9300000,90.4660000,222.5841317
13,84.8200000,91.1120000,241.3138490
14,84.7700000,91.7480000,259.5607872
15,84.8100000,92.5040000,279.3282266
16,84.8600000,93.2320000,297.9735644
17,84.8400000,93.6640000,316.5299661
18,84.5600000,93.8880000,334.7615139
19,84.8000000,94.4080000,354.1329303
20,84.6200000,94.8720000,372.8057196
21,85.0700000,95.3180000,391.7112553
