epoch,acc test,acc train,time
1,70.2100000,55.0200000,18.6461499
2,76.7200000,72.2100000,37.1920958
3,79.2700000,76.8780000,56.3967900
4,81.1300000,80.0100000,74.9459922
5,82.0800000,82.1680000,93.2395501
6,83.1900000,83.8740000,112.0650144
7,83.6600000,85.3340000,130.3279800
8,83.8900000,86.5340000,149.0953863
9,84.2300000,87.5100000,167.8678448
10,84.6200000,88.6600000,186.0303929
11,84.9500000,89.7380000,204.2803099
12,84.7600000,90.4460000,223.4009731
13,84.7200000,91.1520000,241.6882374
14,84.5600000,91.9040000,259.9323990
15,84.5300000,92.4540000,278.7788188
16,85.2400000,93.1260000,297.8189402
