epoch,acc test,acc train,time
1,70.8800000,55.1720000,14.4515512
2,75.9400000,72.4800000,29.0011327
3,79.3700000,77.2220000,43.5172508
4,80.6500000,80.0380000,58.0848241
5,82.5100000,82.2480000,72.5597029
6,83.5400000,83.8900000,87.0402064
7,83.4500000,85.3880000,101.5420768
8,83.5600000,86.3880000,116.2246208
9,84.4200000,87.7860000,130.6882327
10,84.2800000,88.8000000,145.1801250
11,84.6800000,89.7760000,159.6736810
12,84.5500000,90.4660000,174.2878020
13,84.9700000,91.3960000,188.8405888
14,85.0400000,91.9120000,203.2959378
